,subjectID,Behavior20,Behavior21,Behavior22,Behavior23,Behavior24,Behavior25,Behavior26,Behavior27,Behavior28,Behavior29,Behavior30,Behavior31,Behavior32,Behavior33,Behavior34,Behavior35,Behavior64,Fear_of_everyday_situations441,Fear_of_everyday_situations445,Fear_of_everyday_situations447,Fear_of_everyday_situations449,Fear_of_everyday_situations453,Fear_of_everyday_situations454,Fear_of_everyday_situations462,Risk_perception1,Risk_perception10,Risk_perception110,Risk_perception111,Risk_perception112,Risk_perception113,Risk_perception114,Risk_perception115,Risk_perception116,Risk_perception2,Risk_perception3,Risk_perception4,Risk_perception5,Risk_perception6,Risk_perception7,Risk_perception8,Risk_perception9
249,sub0216,6.0,0.0,0.0,0.0,0.0,0.0,85.0,1.0,0.0,81.0,81.0,86.0,84.0,0.0,29.0,35.0,82.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,20,28.0,0.0,0.0,76.0,63.0,72.0,82.0,62.0,1,65,72,41,49.0,53.0,53.0,79.0
250,sub0054,12.0,0.0,0.0,0.0,0.0,13.0,50.0,2.0,0.0,79.0,81.0,49.0,77.0,17.0,72.0,12.0,49.0,1.0,3.0,4.0,1.0,3.0,2.0,2.0,50,67.0,74.0,72.0,71.0,69.0,69.0,75.0,35.0,33,57,72,62,52.0,64.0,65.0,65.0
251,sub0270,0.0,0.0,0.0,0.0,0.0,77.0,82.0,80.0,68.0,100.0,82.0,74.0,100.0,100.0,100.0,100.0,76.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,93,83.0,100.0,100.0,100.0,100.0,100.0,87.0,19.0,87,86,99,89,76.0,75.0,77.0,88.0
252,sub0522,0.0,0.0,0.0,0.0,0.0,46.0,92.0,52.0,50.0,100.0,100.0,100.0,100.0,48.0,47.0,46.0,100.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,46,45.0,46.0,52.0,94.0,56.0,55.0,63.0,5.0,50,43,91,38,56.0,76.0,98.0,60.0
253,sub0334,81.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,88.0,100.0,100.0,62.0,57.0,89.0,100.0,90.0,1.0,0.0,3.0,2.0,1.0,2.0,3.0,13,74.0,0.0,18.0,67.0,24.0,68.0,85.0,23.0,21,67,85,37,61.0,100.0,100.0,59.0
254,sub0448,38.0,21.0,13.0,7.0,2.0,31.0,81.0,17.0,8.0,68.0,65.0,76.0,54.0,35.0,52.0,32.0,70.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,42,37.0,47.0,17.0,80.0,20.0,39.0,64.0,24.0,10,11,72,54,36.0,31.0,19.0,62.0
255,sub0142,24.0,10.0,1.0,0.0,0.0,15.0,64.0,19.0,7.0,65.0,83.0,89.0,88.0,11.0,31.0,7.0,86.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,24,43.0,8.0,1.0,44.0,8.0,36.0,73.0,68.0,7,23,42,34,39.0,53.0,58.0,31.0
256,sub0505,3.0,0.0,0.0,0.0,0.0,11.0,86.0,57.0,67.0,88.0,100.0,100.0,83.0,100.0,100.0,100.0,100.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,26,85.0,81.0,79.0,59.0,71.0,75.0,91.0,16.0,40,36,85,49,34.0,26.0,27.0,86.0
257,sub0512,0.0,0.0,0.0,0.0,0.0,15.0,100.0,75.0,68.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,51,100.0,87.0,100.0,100.0,100.0,100.0,84.0,14.0,100,100,100,72,90.0,89.0,80.0,85.0
258,sub0047,15.0,0.0,0.0,0.0,0.0,74.0,100.0,0.0,0.0,23.0,100.0,100.0,17.0,8.0,50.0,71.0,100.0,4.0,3.0,3.0,1.0,2.0,3.0,2.0,12,8.0,35.0,50.0,85.0,15.0,12.0,81.0,63.0,7,7,80,19,30.0,41.0,56.0,100.0
259,sub0436,0.0,0.0,0.0,0.0,0.0,82.0,97.0,65.0,74.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,81,51.0,81.0,80.0,100.0,83.0,79.0,58.0,7.0,68,71,76,81,95.0,100.0,100.0,77.0
